id,type,Df,Di,Heat of adsorption,Henry coefficient,density,surface area
zeo-CGS,zeolite,3.948680,5.801780,-24.398733,0.000015,1685.497360,1361.370000
zeo-OBW,zeolite,5.123040,9.200700,-21.357073,0.000012,1269.839740,2409.540000
zeo-ITH,zeolite,5.066100,6.660020,-22.171369,0.000009,1738.558535,1048.370000
zeo-PUN,zeolite,4.293860,5.453900,-27.746718,0.000039,1493.318284,1959.580000
zeo-UFI,zeolite,3.834520,10.030040,-26.756419,0.000030,1516.750477,1442.810000
zeo-ITE,zeolite,4.154640,8.243100,-23.231148,0.000012,1568.485165,1332.920000
zeo-MEL,zeolite,5.125700,7.661560,-21.906734,0.000010,1732.052122,1000.250000
zeo-MEP,zeolite,1.787980,5.427980,1782.595094,0.000000
zeo-LOV,zeolite,3.717220,5.091180,-34.342045,0.000054,1676.661257,1520.820000
zeo-JRY,zeolite,4.340360,4.533800,-26.815743,0.000023,1843.239570,1014.530000
zeo-BSV,zeolite,3.775640,5.112800,-22.803020,0.000006,1865.361028,1085.230000
zeo-SBE,zeolite,7.210160,12.479000,-27.648638,0.000019,1370.149151,1562.770000
zeo-VET,zeolite,5.916120,6.327180,-19.081847,0.000003,2013.452316,539.813000
zeo-CAS,zeolite,2.913340,4.989940,-31.213918,0.000032,1871.339640,922.254000
zeo-TON,zeolite,5.048980,5.651600,-23.763992,0.000013,1968.715894,934.300000
zeo-ITR,zeolite,5.060540,6.298620,-22.372365,0.000010,1731.219149,1056.190000
zeo-BIK,zeolite,3.490020,4.107020,-32.766563,0.000060,1862.345102,1058.820000
zeo-OWE,zeolite,3.725420,5.716600,-27.363203,0.000031,1709.086910,1334.800000
zeo-RHO,zeolite,4.001620,10.370780,-32.353648,0.000065,1442.221980,1683.850000
zeo-MSE,zeolite,6.526880,7.026800,-22.101011,0.000008,1632.799881,1107.130000
zeo-SGT,zeolite,2.051880,7.682420,1741.372588,0.000000
zeo-PON,zeolite,4.235180,4.865160,-25.351128,0.000016,1813.264219,1138.640000
zeo-DFT,zeolite,3.589500,5.040240,-35.191004,0.000108,1767.242534,1464.050000
zeo-SOS,zeolite,4.210180,4.760160,-22.942114,0.000010,1692.910141,1515.750000
zeo-FAU,zeolite,7.290480,11.178700,-15.275912,0.000003,1327.644824,1274.500000
zeo-KFI,zeolite,3.978660,10.607940,-27.559930,0.000035,1493.772197,1604.410000
zeo-GOO,zeolite,3.160860,4.446080,-28.828894,0.000021,1891.926675,1199.590000
zeo-ESV,zeolite,3.600940,6.159940,-24.849092,0.000016,1770.933940,916.385000
zeo-GON,zeolite,5.388280,6.263900,-18.126542,0.000003,1887.050760,577.748000
zeo-MTT,zeolite,5.013460,6.131160,-24.291924,0.000015,1816.505855,913.280000
zeo-STI,zeolite,4.882180,6.229940,-22.942116,0.000015,1665.730578,1343.910000
zeo-ABW,zeolite,3.447480,4.182900,-31.566326,0.000057,1754.531633,1456.370000
zeo-SOD,zeolite,2.472240,6.258580,1661.354681,1424.980000
zeo-VSV,zeolite,3.711100,4.253300,-29.703455,0.000019,1676.329610,1714.900000
zeo-CFI,zeolite,7.200620,7.410880,-19.093553,0.000003,1673.038007,1082.580000
zeo-MTN,zeolite,2.548880,7.382120,1712.982409,640.898000
zeo-EZT,zeolite,6.067440,6.512980,-19.607984,0.000006,1716.042216,1005.130000
